corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
-836 p=1329.753302
-837 p=1328.536664
-838 p=1328.363524
-839 p=1328.736589
-840 p=1328.620974
-841 p=1328.059143
-842 p=1327.442931
-843 p=1328.387772
-844 p=1330.680687
-845 p=1329.126681
-846 p=1330.418787
-847 p=1330.249058
-848 p=1332.610990
-849 p=1331.569176
-850 p=1329.528684
-851 p=1329.058253
-852 p=1330.295426
-853 p=1330.124445
-854 p=1330.456084
-855 p=1330.166383
-856 p=1329.215405
-857 p=1328.454918
-858 p=1329.744517
-859 p=1328.464595
-860 p=1328.992443
-861 p=1328.380027
-862 p=1329.587128
-863 p=1329.233254
-864 p=1330.175401
-865 p=1329.368114
-866 p=1327.751135
-867 p=1326.374067
-868 p=1327.218239
-869 p=1328.310724
-870 p=1327.694557
-871 p=1325.235198
-872 p=1326.999122
-873 p=1327.196034
-874 p=1327.077637
-875 p=1327.064458
-876 p=1326.751028
-877 p=1326.365635
-878 p=1327.732541
-879 p=1328.789695
-880 p=1328.245488
-881 p=1327.392516
-882 p=1328.971983
-883 p=1327.674487
-884 p=1327.863316
-885 p=1328.056166
-886 p=1327.539430
-887 p=1327.426085
-888 p=1327.627051
-889 p=1328.078820
-890 p=1329.265639
-891 p=1329.931383
-892 p=1330.754654
-893 p=1328.271165
-894 p=1328.188540
-895 p=1328.751891
-896 p=1329.173673
-897 p=1329.891462
-898 p=1329.232064
-899 p=1328.175639
-900 p=1328.918272
-901 p=1329.251037
-902 p=1329.784826
-903 p=1328.221878
-904 p=1327.133283
-905 p=1327.217013
-906 p=1327.325851
-907 p=1324.996989
-908 p=1325.246222
-909 p=1326.804968
-910 p=1326.237708
-911 p=1327.946792
-912 p=1327.233084
-913 p=1326.987952
-914 p=1326.719252
-915 p=1326.415872
-916 p=1326.380501
-917 p=1327.562628
-918 p=1326.681558
-919 p=1327.505215
-920 p=1326.066150
-921 p=1325.653501
-922 p=1327.359489
-923 p=1326.818402
-924 p=1327.286949
-925 p=1328.361057
-926 p=1330.604102
-927 p=1329.088259
-928 p=1329.004035
-929 p=1328.747545
-930 p=1330.086575
-931 p=1328.656422
-932 p=1329.916885
-933 p=1329.464901
-934 p=1331.131792
-935 p=1330.829089
-936 p=1330.994591
-937 p=1331.140215
-938 p=1329.537194
-939 p=1329.717467
-940 p=1328.089375
-941 p=1328.649418
-942 p=1328.849074
-943 p=1329.827182
-944 p=1328.199814
-945 p=1327.867897
-946 p=1330.184789
-947 p=1329.563397
-948 p=1329.804587
-949 p=1331.710674
-950 p=1331.249259
-951 p=1329.364279
-952 p=1328.106728
-953 p=1329.070177
-954 p=1327.413666
-955 p=1325.639064
-956 p=1327.214052
-957 p=1326.964546
-958 p=1328.475177
-959 p=1328.732232
-960 p=1326.697473
-961 p=1326.131473
-962 p=1327.725915
-963 p=1327.975333
-964 p=1328.230388
-965 p=1329.168161
-966 p=1328.189063
-967 p=1327.509664
-968 p=1328.193219
-969 p=1327.448468
-970 p=1328.179598
-971 p=1329.102267
-972 p=1330.651190
-973 p=1330.144134
-974 p=1328.504764
-975 p=1328.622833
-976 p=1328.133554
-977 p=1329.062511
-978 p=1329.244932
-979 p=1329.775499
-980 p=1330.837559
-981 p=1331.672793
-982 p=1331.675167
-983 p=1331.163808
-984 p=1332.493425
-985 p=1331.655129
-986 p=1330.474930
-987 p=1330.332356
-988 p=1330.314054
-989 p=1331.976932
-990 p=1333.130654
-991 p=1332.085409
-992 p=1332.202266
-993 p=1333.026973
-994 p=1330.109151
-995 p=1329.684762
-996 p=1330.724872
-997 p=1329.167530
-998 p=1328.080656
-999 p=1327.495594
-1000 p=1329.082498

-- topic: 0 (2056 words)
cinema: 0.017379 (89)
film: 0.010957 (56)
hall: 0.009010 (46)
religion: 0.005897 (30)
cinemas: 0.004534 (23)
halls: 0.004534 (23)
movie: 0.004340 (22)
multiplex: 0.003951 (20)
community: 0.003172 (16)
migrant: 0.002978 (15)
theatre: 0.002588 (13)
screening: 0.002394 (12)
showing: 0.002394 (12)
name: 0.002199 (11)
half: 0.002004 (10)
prayer: 0.002004 (10)
industrial: 0.001810 (9)
interval: 0.001810 (9)
faith: 0.001810 (9)
riots: 0.001810 (9)

-- topic: 1 (468 words)
cloth: 0.001211 (4)
largest: 0.001211 (4)
happened: 0.000929 (3)
companies: 0.000929 (3)
charged: 0.000929 (3)
responsibility: 0.000929 (3)
safety: 0.000929 (3)
exploded: 0.000929 (3)
approach: 0.000648 (2)
township: 0.000648 (2)
wire: 0.000648 (2)
crossed: 0.000648 (2)
express: 0.000648 (2)
thereby: 0.000648 (2)
contained: 0.000648 (2)
bigger: 0.000648 (2)
noted: 0.000648 (2)
mistake: 0.000648 (2)
midnight: 0.000648 (2)
owns: 0.000648 (2)

-- topic: 2 (50982 words)
said: 0.031486 (1702)
blast: 0.024384 (1318)
injured: 0.019094 (1032)
blasts: 0.018909 (1022)
people: 0.016800 (908)
bomb: 0.016153 (873)
police: 0.015654 (846)
killed: 0.011325 (612)
two: 0.011288 (610)
near: 0.008717 (471)
one: 0.007885 (426)
city: 0.007460 (403)
area: 0.007127 (385)
state: 0.006997 (378)
explosion: 0.006979 (377)
place: 0.006868 (371)
took: 0.006627 (358)
around: 0.006072 (328)
explosions: 0.005259 (284)
security: 0.005222 (282)

-- topic: 3 (1164 words)
cent: 0.003132 (13)
data: 0.002897 (12)
major: 0.002661 (11)
industry: 0.002190 (9)
break: 0.001955 (8)
frame: 0.001719 (7)
targets: 0.001719 (7)
enforcement: 0.001719 (7)
model: 0.001719 (7)
big: 0.001484 (6)
methods: 0.001484 (6)
per: 0.001484 (6)
next: 0.001484 (6)
assets: 0.001484 (6)
spirit: 0.001484 (6)
director: 0.001248 (5)
hub: 0.001248 (5)
technology: 0.001248 (5)
business: 0.001248 (5)
technical: 0.001248 (5)

-- topic: 4 (2300 words)
rally: 0.028481 (153)
pm: 0.006930 (37)
venue: 0.006744 (36)
candidate: 0.004515 (24)
station: 0.004143 (22)
railway: 0.003771 (20)
event: 0.003028 (16)
addressed: 0.002657 (14)
speech: 0.002657 (14)
address: 0.002471 (13)
music: 0.002471 (13)
trains: 0.002285 (12)
stampede: 0.002285 (12)
person: 0.002285 (12)
speaks: 0.002099 (11)
crowd: 0.002099 (11)
ministerial: 0.002099 (11)
ground: 0.001914 (10)
friend: 0.001914 (10)
rallies: 0.001728 (9)

-- topic: 5 (1939 words)
email: 0.015991 (80)
mail: 0.012008 (60)
sent: 0.010017 (50)
responsibility: 0.009021 (45)
court: 0.005636 (28)
claiming: 0.003047 (15)
demolition: 0.002848 (14)
traced: 0.002848 (14)
video: 0.002848 (14)
ghat: 0.002649 (13)
cyber: 0.002649 (13)
briefcase: 0.002449 (12)
cafe: 0.002250 (11)
channels: 0.002250 (11)
houses: 0.002250 (11)
high: 0.002051 (10)
sentence: 0.002051 (10)
media: 0.002051 (10)
